월,검색유입비율,1위키워드,1위%,2위키워드,2위%,3위키워드,3위%,4위키워드,4위%,5위키워드,5위%
2025.01,20.38%,대전 오류동 사라요가,11.11,인사이드 얼라인먼트,7.41,문화동 요가,5.56,블랙롤테라피,5.56,대전 오류동 요가,3.70
2025.02,25.14%,대전 사라요가,6.90,인사이드 얼라인먼트,5.75,대전 문화동 사라요가,4.60,대전 주말 요가,4.60,대전 중구 플라잉요가,4.60
2025.03,21.47%,대전 사라요가,10.00,대전 오류동 요가,10.00,요가 1주년 이벤트,5.71,대전 요가 원데이,4.29,대전 오류동 사라요가 가격,2.86
2025.04,25.11%,대전 중구 플라잉요가,10.53,문화동 요가,10.53,thinking bout love,5.26,대전 서대전요가,5.26,블랙롤테라피,5.26
2025.05,25.66%,대전 오류동 요가,6.90,대전 주말 요가,6.90,사라요가,5.17,오류동사라요가,5.17,하이파이브 어플,5.17
2025.06,34.70%,대전 중구 플라잉요가,6.45,대전 사라요가,5.38,오류동 사라요가,5.38,문화동 요가,4.30,블랙롤테라피,4.30
2025.07,26.94%,사라요가,12.50,대전 주말 요가,8.75,오류동 사라요가,7.50,대전 사라요가,5.00,대전 문화동 요가,2.50
2025.08,29.43%,대전 주말 요가,7.95,사라요가,4.55,8월24일 요가 대전,3.41,대전 오류동 사라요가,3.41,대전 주말요가,3.41
2025.09,35.23%,도구테라피,14.29,블랙롤테라피,11.43,대전 주말 요가,6.67,대전오류동사라요가,4.76,대전 사라요가,3.81
2025.10,23.27%,대전 오류동 요가,7.81,대전 사라요가,6.25,도구테라피,6.25,요가 도구 테라피,6.25,대전 주말 요가,4.69
2025.11,25.00%,대전 사라요가,6.90,대전 중구 플라잉요가,6.90,도구테라피,6.90,얼라인먼트 플로우,6.90,사라요가,5.17
2025.12,25.38%,문화동 사라요가,8.00,사라요가,8.00,대전오류동사라요가,6.00,도구테라피 요가,6.00,오류동 사라요가,6.00
2026.01,26.17%,대전 사라요가,8.96,대전 중구 사라요가 비용,8.96,문화동 요가,7.46,대전 중구 플라잉요가,4.48,서대전 요가,4.48
2026.02,24.12%,대전 중구 플라잉요가,10.42,대전 플라잉요가,6.25,오류동 요가,6.25,대전 문화동 요가,4.17,대전 사라요가 금액,4.17
